Title,Author,genres,Link;;;;;;;;;;;;;;
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,Nonfiction;Adventure;Survival;Autobiography;Childrens;Middle Grade;Biography Memoir;Academic;School;;;;;;,https://tse2.mm.bing.net/th/id/OIP.Q31h9BE6GgdxHHG2rLAyhQAAAA?w=141&h=230&c=7&r=0&o=5&pid=1.7
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,Nonfiction;Writing;Essays;Literary Criticism;Language;Books About Books;;;;;;;;;,https://tse4.mm.bing.net/th/id/OIP.QOAKovivfgiNj9i8Ti2P_QAAAA?w=126&h=180&c=7&r=0&o=5&pid=1.7
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,Fantasy;Anthologies;Adult Fiction;Erotica;Paranormal Romance;Shapeshifters;Erotic Romance;;;;;;;;,https://tse1.mm.bing.net/th/id/OIP.3Zcuqt6LUMvV6x_oA_jq8wAAAA?w=123&h=187&c=7&r=0&o=5&pid=1.7
Changeling (Changeling  #1),Delia Sherman,Young Adult;Urban Fantasy;Fiction;Paranormal;Fairies;Childrens;Middle Grade;Adventure;Fae;Magic;;;;;,https://tse4.mm.bing.net/th/id/OIP._-RWx7V206keyQhYXWGpjQHaLh?w=129&h=200&c=7&r=0&o=5&pid=1.7
I Like You: Hospitality Under the Influence,Amy Sedaris,Humor;Nonfiction;Food and Drink;Cookbooks;Cooking;Comedy;Audiobook;Autobiography;Memoir;Reference;Adult;;;;,https://tse2.mm.bing.net/th/id/OIP.3aRqOhv628hITtNUWOcs0gHaKX?w=138&h=193&c=7&r=0&o=5&pid=1.7
Children Playing Before a Statue of Hercules,David Sedaris/Richard Yates/Dorothy Parker/Joyce Carol Oates/Lorrie Moore/Flannery O'Connor/Amy Hempel/Akhil   Sharma/Tim Johnston/Tobias Wolff/Sarah Vowell/Charles Baxter/Jhumpa Lahiri/Katherine Mansfield/Alice Munro/Jean Thompson/Frank Gannon/Patricia Highsmith/Jincy Willett,Short Stories;Humor;Audiobook;Writing;Essays;Anthologies;Comedy;Adult Fiction;Literature;;;;;;,https://tse3.mm.bing.net/th/id/OIP.euuDBzpf2d2oDZlZTOVOzQHaLb?w=194&h=299&c=7&r=0&o=5&pid=1.7
Bringing Down The House,Ben Mezrich,Nonfiction;True Crime;Autobiography;Mystery;History;Biography Memoir;Sports and Games;Science;Mathematics;;;;;;,https://tse2.mm.bing.net/th/id/OIP.xONCU9KU2qYCVdySkzU2IgHaHa?w=164&h=180&c=7&r=0&o=5&pid=1.7
Read for Your Life: 11 Ways to Better Yourself Through Books,Pat Williams/Peggy Matthews Rose,Nonfiction;Self Help;Writing;Books About Books;;;;;;;;;;;,https://tse4.mm.bing.net/th/id/OIP.SgAkXIGpDnhrVwwl8GUXjAAAAA?w=183&h=282&c=7&r=0&o=5&pid=1.7
The Hip-Hop Church: Connecting with the Movement Shaping Our Culture,Efrem Smith/Phil   Jackson,Religion;;;;;;;;;;;;;;,https://tse2.mm.bing.net/th/id/OIP.Zqh3kvd_x0zLDNcC5PdJQgAAAA?w=115&h=180&c=7&r=0&o=5&pid=1.7
The Final Season: Fathers  Sons  and One Last Season in a Classic American Ballpark,Tom Stanton,Sports;Baseball;Nonfiction;History;Family;Autobiography;Memoir;;;;;;;;,https://tse2.mm.bing.net/th/id/OIP.-vqKqS4NMPhC3tMG380tswAAAA?w=115&h=180&c=7&r=0&o=5&pid=1.7
The Cold Six Thousand (Underworld USA #2),James Ellroy,Mystery;Crime;Noir;Historical Fiction;Thriller;Novels;The United States Of America;Literature;American;;;;;;,https://tse4.mm.bing.net/th/id/OIP.TSfdOFTtNapelOYpkG1mbgHaO0?w=175&h=350&c=7&r=0&o=5&pid=1.7
White Teeth,Zadie Smith,Contemporary;Novels;Literary Fiction;European Literature;British Literature;Historical Fiction;Classics;Adult Fiction;Race;;;;;;,https://tse1.mm.bing.net/th/id/OIP.zItKca6by5uYLt25noTdAQAAAA?w=123&h=190&c=7&r=0&o=5&pid=1.7
White Teeth,Zadie Smith,Contemporary;Novels;Literary Fiction;European Literature;British Literature;Historical Fiction;Classics;Adult Fiction;Race;;;;;;,https://tse1.mm.bing.net/th/id/OIP.zItKca6by5uYLt25noTdAQAAAA?w=123&h=190&c=7&r=0&o=5&pid=1.7
White Teeth,Zadie Smith,Contemporary;Novels;Literary Fiction;European Literature;British Literature;Historical Fiction;Classics;Adult Fiction;Race;;;;;;,https://tse1.mm.bing.net/th/id/OIP.zItKca6by5uYLt25noTdAQAAAA?w=123&h=190&c=7&r=0&o=5&pid=1.7
Schiffbruch mit Zuschauer. Paradigma einer Daseinsmetapher,Hans Blumenberg,Philosophy;Nonfiction;European Literature;German Literature;;;;;;;;;;;,https://tse3.mm.bing.net/th/id/OIP.oRoYJZAM1wAq2DtxQL3gcwAAAA?w=115&h=180&c=7&r=0&o=5&pid=1.7
The Guide to Dan Brown's the Solomon Key,Greg  Taylor,Fiction;;;;;;;;;;;;;;,https://tse1.mm.bing.net/th/id/OIP.TX09QS_SMae9yzdOBat47wAAAA?w=120&h=189&c=7&r=0&o=5&pid=1.7
The Da Vinci Code (Robert Langdon  #2),Dan Brown,Mystery Thriller;Historical Fiction;Suspense;Adventure;Novels;Crime;Adult;;;;;;;;,https://tse1.mm.bing.net/th/id/OIP.X3UALItMKZclks-JrAO-1gHaJX?w=128&h=180&c=7&r=0&o=5&pid=1.7
Angels & Demons (Robert Langdon  #1),Dan Brown,Mystery Thriller;Suspense;Adventure;Crime;Historical Fiction;Novels;Adult;;;;;;;;,https://tse3.mm.bing.net/th/id/OIP.JD795FeqAHnaYW-8FlVjbQHaEK?w=247&h=180&c=7&r=0&o=5&pid=1.7
The Illuminati,Larry Burkett,Christian Fiction;Adult Fiction;Pseudoscience;Conspiracy Theories;Novels;Religion;Mystery Thriller;;;;;;;;,https://tse2.mm.bing.net/th/id/OIP.HlHxIW9c4VGurdp6UWq79AHaD4?w=310&h=180&c=7&r=0&o=5&pid=1.7
The Illuminati Papers,Robert Anton Wilson,Philosophy;Nonfiction;Pseudoscience;Conspiracy Theories;Psychology;Writing;Essays;Literature;Occult;Religion;Esoterica;Cultural;Counter Culture;Politics;,https://tse1.mm.bing.net/th/id/OIP.jgbtD8fDJu0YCuwd7Az0cAAAAA?w=194&h=317&c=7&r=0&o=5&pid=1.7
The Da Vinci Code,Dan Brown,Mystery Thriller;Historical Fiction;Suspense;Adventure;Novels;Crime;Adult;;;;;;;;,https://tse2.mm.bing.net/th/id/OIP.OUOtYEtgPrdBF4hbcJA7wgHaLK?w=194&h=293&c=7&r=0&o=5&pid=1.7
